lat,long,temp,humidity,wind,cloud,weather,pressure,sea level,forest,river,class
27.0442,94.5503,26.32,95,0.65,100,Clouds,1003,88.6,74.40666667,2.226,1
20.9522,84.4064,24.87,94,1.14,98,Clouds,1005,139.48,36.77666667,0.975,1
20.2249,84.7692,25.43,94,1.71,100,Rain,1004,199.61,94.66222222,4.361,1
15.3059,74.7271,22.95,95,6.04,99,Rain,1009,511.51,52.27555556,11.337,1
27.481,93.8215,20.56,98,0.84,100,Rain,1003,1885.09,93.88111111,2.373,1
26.5,85.5,28.11,90,1.17,100,Rain,998,60.2,90.22666667,0.506,1
27.629,80.7483,26.37,94,0.73,100,Rain,1004,138.82,90.19222222,2.624,1
26.8177,94.143,26.25,90,2.41,99,Rain,1006,83.7,78.45777778,5.707,1
22.5263,88.0605,27.23,93,5.93,100,Rain,992,1.8,84.65845,7.864,1
15.7081,78.233,26.99,78,3.24,71,Clouds,1009,319.74,50.85,0.906,1
11.4729,77.8452,26.01,80,1.4,96,Clouds,1011,320.63,6.758888889,5.189,1
27.2504,94.6126,20.43,91,1.78,99,Rain,1005,93.25,25.28888889,4.972,1
26.3166,91.8623,22.16,98,3.42,100,Rain,1009,52.6,91.38333333,2.111,1
26.6381,93.1226,23.14,92,2.43,100,Rain,1004,71.97,69.8751,23.277,1
15.2182,79.4844,29.87,82,2.69,100,Clouds,1005,141.73,19.02888889,2.946,1
30.1895,74.7785,28.69,77,2.13,14,Clouds,1002,203.85,89.14333333,3.329,1
25.5869,86.1983,27.2,94,2.07,100,Rain,1000,40.55,92.32222222,2.001,1
33.5267,76.1256,6.98,96,0.44,100,Rain,1016,3975.7,18.99222222,1.827,1
25.965,76.05,26.22,95,2.33,100,Rain,1003,267.33,19.31111111,13.04,1
16.29,80.055,27.64,76,2.42,96,Clouds,1006,71.99,87.67222222,6.737,1
26.235,92.25,26.5,95,1.43,99,Rain,1004,82.68,92.71333333,2.452,1
26.73,82.845,26.54,92,3.73,99,Rain,1003,81.65,91.98111111,0.785,1
25.695,87.75,26.34,94,4,100,Clouds,1005,35.11,94.15888889,3.956,1
9.88679,78.4773,25.54,93,1.64,16,Clouds,1012,112.61,43.71222222,22.196,1
10.8365,76.7588,25.55,92,2.71,99,Clouds,1009,530.7,90.36222222,2.067,1
20.7933,85.8723,25.87,95,5.38,100,Rain,995,73.6,74.565,1.6,1
26.0844,86.1969,25.9,97,2.62,100,Rain,999,45.05,90.29111111,5.969,1
27.3624,94.0349,26.09,95,0,90,Haze,1000,177.17,95.29777778,2.514,1
28.5244,80.9261,27.49,98,1.05,100,Rain,998,154.33,91.50555556,5.108,1
22.3056,88.3453,27.07,96,3.23,100,Rain,1002,2.21,92.18888889,1.268,1
26.3755,86.2422,25.79,95,4.18,100,Rain,1005,56.25,90.54333333,4.725,1
26.5897,92.1815,27.65,89,3.09,98,Rain,1006,71.34,90.09777778,3.46,1
22.3021,73.9531,25.1,94,2.53,100,Rain,1005,133.62,28.76333333,2.318,1
20.6511,86.0022,25.85,96,2.76,100,Rain,1003,36.2,94.54888889,13.168,1
26.5659,92.4354,24.89,92,2.39,88,Clouds,1000,59.51,78.95751,1.789,1
26.1094,86.557,29.89,74,4.27,100,Clouds,996,47.46,71.46888889,3.345,1
30.1135,78.8529,22.35,95,0.37,100,Rain,1001,1351.23,89.04888889,2.407,1
19.4398,82.3216,22.86,95,5.33,100,Rain,1002,598.94,18.17111111,0.517,1
20.9855,82.7962,25.67,90,3.21,83,Clouds,1005,244.95,83.38777778,15.896,1
31.3063,76.8569,23.64,92,0.97,79,Rain,1003,1163.29,90.75777778,5.861,1
26.8031,93.6379,26.24,94,2.38,100,Rain,1005,74.09,79.68562,2.121,1
11.8283,78.8042,23.46,88,1.52,42,Clouds,1010,233.7,89.61,2.453,1
32.7135,76.6135,5.8,86,1.14,100,Rain,1012,4333.4,61.61111111,5.834,1
21.9781,82.5285,27.54,90,2.11,99,Rain,1001,250.05,90.28444444,13.418,1
27.387,94.9182,29.81,87,0.95,100,Clouds,998,101.08,89.74444444,2.347,1
21.2719,84.2495,25.9,86,2.94,98,Clouds,1006,320.31,97.26111111,1.991,1
24.7174,85.9321,25.61,88,1.47,61,Clouds,1009,274.48,94.54666667,1.884,1
27.8115,94.716,24.73,96,1.05,100,Rain,1002,814.95,92.32111111,4.181,1
20.7752,84.1258,24.85,92,3.88,100,Rain,999,120.25,84.03888889,20.449,1
27.3852,79.7586,27.84,93,0.84,64,Clouds,1001,136.01,80.41666667,0.52,1
26.1795,86.2537,26.77,96,1.92,100,Rain,999,48.64,90.55444444,3.666,1
27.6132,94.6542,24.75,96,0.71,100,Rain,1005,118.09,90.34555556,6.651,1
26.7465,92.4891,23.37,91,1.57,39,Clouds,1007,87.87,92.52888889,2.332,1
18.4473,79.6967,27.81,75,3.17,97,Clouds,1004,157.16,21.69984,5.67,1
10.2916,78.2616,23.3,95,0.92,99,Clouds,1014,291.49,85.85666667,5.657,1
33.1767,76.4058,-15.67,48,1.3,100,Clouds,1028,4376.91,58.05444444,6.556,1
10.7121,79.1771,26.18,93,2.06,100,Clouds,1007,50.79,80.85666667,2.162,1
26.9195,93.8747,23.84,96,1.21,90,Rain,1006,79.93,83.16444444,2.2,1
21.8734,70.7643,27.64,87,6.05,100,Rain,994,113.53,52.29777778,15.452,1
26.2074,82.6165,30.6,85,3.19,100,Clouds,996,87.12,90.75111111,6.594,1
26.8946,93.751,26.47,93,0.58,44,Clouds,1007,76.76,93.24666667,2.485,1
11.8278,78.8554,23.19,90,5.76,100,Rain,1005,174.27,85.90111111,1.696,1
27.464,95.6068,21.71,93,1.16,61,Clouds,1010,141.51,93.06,3.644,1
27.068,93.949,28.34,94,0.98,99,Clouds,1004,85.73,88.62777778,22.04,1
22.8107,80.8349,22.72,100,4.96,100,Rain,998,630.92,43.12777778,2.156,1
21.7477,73.4119,25.28,96,4.35,100,Rain,1005,264.19,21.93777778,2.01,1
25.6099,85.1898,28.78,93,1.26,100,Clouds,999,52.35,25.24888889,4.602,1
17.6536,80.3401,25.64,93,0.84,100,Rain,1005,339.54,93.83888889,3.153,1
27.6131,94.9387,25.53,93,0.93,95,Rain,1004,105.81,57.6525,12.282,1
21.898,70.9375,25.55,97,5.43,100,Rain,1003,129.3,86.48777778,2.917,1
22.9061,88.0848,26.76,95,1.45,99,Rain,1003,15.42,90.41888889,2.161,1
28.1657,79.076,28.15,95,0.92,99,Clouds,1000,173.29,89.22888889,4.62,1
10.489,79.0039,26.83,83,3.54,97,Clouds,1011,89.85,57.72222222,2.242,1
14.3584,75.4408,24.71,87,3.11,100,Rain,1006,574.25,77.55888889,7.581,1
26.8948,93.3551,25.27,88,1.62,100,Rain,995,109.27,93.68777778,4.952,1
33.3752,75.1439,15.67,87,1.2,21,Clouds,1007,1886.58,85.67222222,5.727,1
20.9795,73.783,27.28,83,4.42,100,Rain,1006,383.35,60.44666667,2.252,1
19.5656,74.5501,25.35,83,2.49,100,Clouds,1007,516.41,84.85777778,1.42,1
12.5238,75.6883,20.54,98,2.64,100,Rain,1009,968.01,96.44444444,13.092,1
9.39943,76.7275,24.44,95,2.23,100,Clouds,1012,106.52,84.07111111,2.033,1
