,lat,long,dt_txt,temp,humidity,wind,cloud,weather,pressure,sea level,forest,river,class
108,17.9,77.55,2020-09-25 08:30:00+05:30,26.31,85,3.53,98,Clouds,1010,602.12,24.28,14.86606875,0.0
109,29.47,77.68,2020-11-03 05:30:00+05:30,14.04,74,1.98,0,Clear,1014,235.93,62.78666667,10.77032961,0.0
110,18.4,76.58,2020-04-06 11:30:00+05:30,33.9,49,2.48,20,Clouds,1013,638.68,64.29888889,22.20360331,0.0
111,28.02,73.3,2020-12-18 08:30:00+05:30,5.85,80,1.2,0,Clear,1021,235.65,0.291111111,32.0,0.0
112,26.32,91.0,2020-03-20 11:30:00+05:30,29.32,47,1.17,82,Clouds,1012,38.22,84.49111111,17.0,0.0
113,26.22,78.18,2020-12-31 11:30:00+05:30,10.04,82,1.0,0,Fog,1021,211.74,10.68,41.23105626,0.0
114,25.1,76.52,2020-06-09 23:30:00+05:30,32.73,57,4.25,21,Clouds,1002,260.97,74.55,9.433981132,0.0
115,10.77,79.65,2020-12-20 17:30:00+05:30,26.81,70,7.49,87,Clouds,1012,11.02,81.25111111,22.8035085,0.0
116,12.13,78.17,2020-08-10 23:30:00+05:30,24.81,83,3.26,99,Clouds,1009,451.91,63.17444444,100.0,0.0
117,27.57,80.68,2020-02-14 11:30:00+05:30,22.3,63,5.82,0,Clear,1011,134.21,72.01444444,21.21320344,0.0
118,18.0,79.58,2020-08-09 02:30:00+05:30,28.57,76,2.78,100,Clouds,1003,252.41,45.91555556,2.828427125,0.0
119,21.17,79.65,2020-09-21 08:30:00+05:30,26.08,92,1.38,96,Clouds,1001,257.79,69.81222222,18.43908891,0.0
120,22.3,70.78,2020-07-24 05:30:00+05:30,29.43,10,3.1,20,Clouds,987,134.18,6.047777778,34.98571137,0.0
121,26.4,90.27,2020-12-31 17:30:00+05:30,21.42,54,1.51,0,Clear,1015,46.64,86.92444444,100.0,0.0
122,16.98,73.3,2020-05-13 23:30:00+05:30,29.43,81,1.5,20,Clouds,1009,2.27,53.99,0.0,0.0
123,12.93,79.13,2020-03-15 20:30:00+05:30,28.06,72,3.88,64,Clouds,1013,207.76,52.63888889,6.0,0.0
124,22.82,70.83,2020-11-11 20:30:00+05:30,22.6,54,2.51,0,Clear,1015,45.38,20.96777778,7.071067812,0.0
125,10.35,77.95,2020-04-29 20:30:00+05:30,29.01,70,0.25,94,Clouds,1010,260.82,52.43666667,41.72529209,0.0
126,29.37,78.13,2020-10-05 17:30:00+05:30,31.01,65,2.06,0,Clear,1004,231.92,78.06111111,34.43835072,0.0
127,11.92,76.95,2020-09-13 05:30:00+05:30,20.89,94,1.88,100,Rain,1010,718.21,41.74444444,12.08304597,0.0
128,25.58,83.57,2020-12-08 23:30:00+05:30,16.22,94,1.78,2,Clear,1016,70.3,63.81777778,6.403124237,0.0
129,18.52,73.86,2020-03-21 11:30:00+05:30,29.6,24,0.5,0,Clear,1013,555.85,13.21555556,12.16552506,0.0
130,20.26,86.17,2020-06-04 02:30:00+05:30,27.54,93,2.98,97,Clouds,1005,12.31,88.84444444,36.05551275,0.0
131,23.25,87.07,2020-04-06 20:30:00+05:30,28.42,41,2.19,0,Clear,1009,81.39,64.89,20.61552813,0.0
132,13.35,74.75,2020-03-26 23:30:00+05:30,28.35,84,1.67,32,Clouds,1011,8.26,73.53555556,25.49509757,0.0
133,11.65,78.17,2020-10-04 05:30:00+05:30,23.95,83,0.0,20,Clouds,1008,281.97,40.89444444,10.44030651,0.0
134,20.9,74.78,2020-04-11 14:30:00+05:30,40.29,21,1.55,6,Clear,1010,261.22,18.48666667,9.219544457,0.0
135,10.77,79.83,2020-07-25 17:30:00+05:30,31.45,67,3.1,85,Clouds,1005,0.75,57.04888889,11.66190379,0.0
136,26.03,89.97,2020-08-12 23:30:00+05:30,28.41,96,0.94,92,Rain,1003,31.66,57.20111111,6.708203932,0.0
137,29.97,76.85,2020-07-28 02:30:00+05:30,29.37,95,1.9,78,Clouds,1000,257.86,54.88444444,100.0,0.0
