temp,humidity,wind,cloud,weather,pressure,sea level,forest,river,class
27.02,74,1.67,4,Clear,1009,3.4,92.05667,7,1
30.32,79,2.52,98,Clouds,995,59.32,64.75111,0.95,1
26.13,81,3.48,100,Rain,1005,151.44,91.78889,5.2,1
26.69,89,1.39,56,Clouds,1008,7.27,87.27222,1.2,1
26.83,92,1.55,100,Clouds,1001,59.25,88.82222,4.2,1
23.35,94,1.79,100,Rain,1002,154.51,93.71111,4,1
26.05,92,5.03,100,Clouds,1000,185.62,87.99556,2.9,1
24.12,89,0,20,Smoke,1009,22.45,19.82222,5,1
22.76,87,5.35,100,Clouds,1008,699.66,46.75556,11,1
31.53,76,1.35,83,Rain,1000,20.29,80.31222,2.5,1
29.73,79,1.79,98,Rain,998,119.08,91.42778,30,1
-14.02,92,1.73,99,Snow,1008,5554.87,1.11,0,1
26.32,93,0.37,100,Rain,1002,75.35,59.31222,8.5,1
31.93,61,1.81,45,Clouds,999,123.47,68.05333,0.65,1
25.73,94,2.56,96,Rain,1002,134.62,72.70667,40,1
29.35,83,2.83,96,Rain,1002,153.1,0,1.7,1
20.6,94,1.11,26,Clouds,1013,65.59,92.59222,6.6,1
23.7,87,0.43,98,Rain,1012,271.95,57.91,0.2,1
26.24,93,0.46,92,Clouds,1009,25.64,69.894,0.56,1
25.07,92,1.05,32,Clouds,1013,6.56,82.95889,0.25,1
31.2,74,0.34,100,Clouds,1000,82.42,55.15778,1.5,1
26.16,80,6.14,49,Clouds,998,324.15,89.35778,12,1
24.55,94,0.95,100,Rain,1000,659.35,93.27,50,1
30.47,80,0.8,85,Clouds,1000,139.11,78.88667,0.1,1
34.79,29,2.71,0,Clear,1003,203.34,83.32778,6.5,1
26.12,95,1.96,66,Clouds,1008,44.38,90.96556,6.7,1
34.81,35,4.63,81,Clouds,1006,608.34,0.906667,19,1
27.49,89,0.42,99,Clouds,1004,89.65,92.92333,8,1
27.9,90,1.11,100,Rain,1001,15.29,84.08222,4,1
14.02,89,1.05,21,Clouds,1012,453.22,89.6845,8,1
17.17,97,1.31,97,Clouds,1016,373.23,93.07778,13.7,1
23.33,92,2.56,90,Rain,1011,11.82,84.597,3.3,1
27.83,82,1.67,25,Clouds,1003,170.57,86.44889,11.7,1
27.22,78,1.19,98,Rain,1012,1010.95,93.02,8.35,1
24.36,83,5.12,99,Clouds,1010,289.66,30.90444,6.1,1
27.43,72,2.92,99,Clouds,1007,23.57,77.91,0.001,1
36.89,39,0.96,57,Clouds,1006,326.77,4.451111,3.1,1
16.66,95,0.31,100,Rain,1006,2007.48,91.39778,5.75,1
28.9,86,1.54,100,Rain,996,135.57,81.34556,45,1
21.9,87,1.14,43,Clouds,1010,762.3,89.07556,0.12,1
17.64,98,0.05,100,Rain,1007,1151.55,88.33889,0.08,1
40.93,23,1.79,26,Clouds,1000,300.76,91.12,3.3,1
22.47,85,0.81,75,Clouds,1003,1587.08,91.95,22,1
31.79,46,2.06,44,Clouds,1005,468.04,91.85222,55,1
26.24,86,2.1,20,Drizzle,1009,80.41,28.12667,12.5,1
35.07,48,3.76,97,Clouds,1002,74.25,82.10222,42,1
22.42,54,0.89,20,Clouds,1012,438.33,94.08111,4.75,1
25.68,94,0.22,100,Rain,1004,68.79,86.41889,12.1,1
41.95,14,5.39,0,Clear,992,255.07,16.71111,7.8,1
11.69,95,0.82,85,Rain,1010,2789.92,69.71111,1.8,1
32.63,76,4.76,98,Clouds,998,41.45,87.13667,6.6,1
25.56,95,1.73,100,Rain,1011,15.45,83.79111,6.2,1
14.73,97,0.3,100,Rain,1015,2765.99,97.61889,8,1
26.06,93,2.64,99,Clouds,1006,118.11,79.94333,1.8,1
29.27,74,1.99,63,Clouds,1010,377.79,97.00444,20,1
27.74,91,1.23,42,Clouds,1001,12,51.31,0.02,1
34.67,44,5.16,100,Clouds,1001,256.84,19.60333,3.1,1
18.31,95,1.23,100,Rain,1008,2119.54,86.85667,16,1
26.96,86,4.05,100,Clouds,1003,157.58,0,0.3,1
26.83,90,1.85,100,Rain,1008,110.17,84.43667,3.8,1
28.34,81,1.76,74,Clouds,1002,73.56,89.47556,17,1
22.88,53,0.5,20,Rain,1004,1674.21,89.73444,9.3,1
23.15,91,5.38,100,Rain,1004,768.84,51.52444,2.6,1
26.24,96,0,75,Rain,1006,4.95,88.73333,1,1
24.35,78,5.56,100,Clouds,1003,340.62,38.45556,0.6,1
27.55,92,3.43,4,Clear,1008,1.75,87.68579,30,1
24.08,89,5.38,98,Clouds,1004,550.19,1.295556,14,1
33.67,38,4.13,39,Clouds,1003,188.01,23.17556,22,1
25.03,96,2.22,97,Clouds,1009,4.68,88.35667,5.8,1
16.88,99,1.23,68,Clouds,1016,126.87,91.09111,21,1
26.26,95,0.59,98,Rain,1004,99.15,28.04444,0.05,1
9.92,74,0.71,18,Clouds,1015,4248.99,31.29111,0.9,1
28.48,77,1.67,96,Clouds,1002,91.26,98.65625,2.8,1
27.27,77,4.21,100,Clouds,1002,251.75,0,14.4,1
28.64,88,1.29,99,Clouds,999,128.86,92.64111,30,1
38.11,36,3.97,63,Clouds,1001,199.67,87.69542,1.6,1
25.48,98,2.07,51,Clouds,1011,16.43,88.60556,4,1
20.8,93,0,20,Clouds,1010,735.84,70.96889,17,1
25.94,96,0.51,100,Rain,1004,20.18,91.19,4,1
27.6,84,5.36,81,Clouds,1001,94.29,1.787778,2.4,1
27.74,85,1.8,73,Clouds,1008,-0.2,67.49222,1.1,1
28.54,86,1.53,95,Clouds,1005,222.72,55.21778,25,1
5.82,91,1.67,100,Rain,1011,4149.66,32.52778,1.3,1
20.23,86,0.81,15,Clouds,1010,1646.56,89.94,4.6,1
27.6,88,3.19,45,Clouds,1007,82.26,86.46333,30,1
27.83,94,2.38,98,Clouds,998,65.69,89.31778,3.3,1
31.42,68,0.82,79,Clouds,999,220.28,47.69,0.7,1
24.34,97,1.25,39,Clouds,1011,154.25,17.87111,0.3,1
23.16,91,2.08,74,Clouds,1013,103.03,81.55778,9,1
22.93,94,5.39,100,Rain,999,629.48,22.03667,30,1
24.14,48,1.52,0,Clear,1012,307.25,92.01556,65.5,1
27.23,39,3.26,0,Clear,1008,-0.03,68.7951,13.5,1
27.66,93,0,20,Haze,1001,4.34,61.28444,13,1
27.2,86,2.99,100,Rain,1008,7.44,78.24333,10,1
33.13,76,5.38,68,Clouds,1000,13,86.00778,7,1
26.65,88,4.77,100,Clouds,1001,67.84,43.58333,5.2,1
29.75,78,3.04,99,Rain,1001,51.64,89.22,67.5,1
14.84,96,0.64,100,Rain,1010,2254.64,91.97111,151,1
25.84,90,3.93,100,Rain,999,3.56,92.96222,77.6,1
17.8,94,1.14,100,Rain,1006,1885.09,93.88111,43.2,1
27.2,29,4.53,5,Clear,1003,60.2,90.22667,15.5,1
32.03,75,1.61,38,Clouds,1000,138.82,90.19222,34.05,1
25.09,97,1.55,95,Rain,1005,83.7,78.45778,1.683,1
29.06,89,1.58,100,Rain,997,1.8,79.61575,9.6,1
29.38,47,2.42,0,Clear,1010,319.74,50.85,22.5,1
27.12,82,1.28,93,Clouds,1005,320.63,6.758889,19.1,1
22.98,87,1.98,78,Clouds,1009,93.25,25.28889,0.1,1
20.84,99,3.17,100,Rain,1003,52.6,91.38333,5.4,1
25.46,92,1.23,68,Rain,1000,71.97,90.5975,0.2,1
31.05,65,3.95,100,Clouds,1001,141.73,19.02889,12.6,1
27.96,63,2.15,0,Clear,1003,203.85,89.14333,227,1
-1.27,91,1.36,71,Clouds,1018,3975.7,18.99222,32.48,1
32.45,65,1.37,100,Clouds,996,267.33,19.31111,16.5,1
29.17,80,2.88,26,Clouds,1006,71.99,87.67222,50,1
27.2,93,0.62,100,Rain,1004,82.68,92.71333,16.178,1
29.85,76,1.63,30,Clouds,1004,81.65,91.98111,12.5,1
28.28,88,2.23,84,Rain,1005,35.11,94.15889,6.8,1
28.73,77,2.34,66,Clouds,1009,530.7,90.36222,8.2,1
27.05,92,2.61,99,Rain,996,73.6,98.7951,7.01,1
32.59,47,2.86,11,Clouds,1005,45.05,90.29111,23.65,1
25.69,76,0,40,Haze,1007,177.17,95.29778,8.7,1
24.8,100,1.83,100,Rain,1002,154.33,91.50556,16,1
27.35,93,1.22,99,Rain,996,59.51,75.9514,0.1,1
29.04,85,5.6,64,Clouds,999,47.46,71.46889,3.26,1
18.59,68,1.85,24,Clouds,1011,1351.23,89.04889,14.2,1
30.74,57,1.73,25,Clouds,1005,598.94,18.17111,3.146,1
26.47,93,3.48,100,Rain,998,244.95,83.38778,0.1,1
23.74,95,0.49,50,Rain,1006,1163.29,90.75778,5.4,1
25.9,93,1.15,93,Rain,1008,74.09,96.47512,0.1,1
35.31,26,1.5,96,Clouds,1003,233.7,89.61,5.25,1
16.12,72,0.71,28,Clouds,1010,4333.4,61.61111,3.7,1
25.19,93,0.54,69,Clouds,1012,291.49,85.85667,40,1
-14.76,59,1.59,96,Clouds,1027,4376.91,58.05444,8.6,1
32.41,70,2.97,46,Rain,1006,50.79,80.85667,13.44,1
19.81,93,1.29,100,Rain,1011,79.93,83.16444,2.635,1
