,riverdistance,forest,sealevel,temp,humidity,wind,cloud,weather,pressure,class
223,2.9,74.85889,75.22,29.05,77,4.94,92,light rain,997,0
224,5,25.56333,855.32,16.83,78,0.99,0,clear sky,1011,0
225,11,88.84444,12.31,28.33,79,9.88,12,few clouds,1004,0
226,2.5,40.46333,8.85,30.16,80,6.85,93,light rain,1005,0
227,30,32.52,285.83,20.48,25,2.98,0,clear sky,1015,0
228,0,25.6587,197.78,12.84,39,1.52,35,scattered clouds,1014,0
229,8.5,88.06667,495.78,23.72,17,5.45,0,clear sky,1010,0
230,0.65,17.91889,1312.69,16.41,82,0.45,75,broken clouds,1011,0
231,40,79.11889,296.87,23.71,35,0.94,37,scattered clouds,1008,0
232,1.7,14.58556,109.77,35.74,57,2.46,74,broken clouds,989,0
233,6.6,61.10333,639.58,26.88,70,6.24,59,light rain,1006,0
234,0.2,47.81556,156.44,22.73,59,2.78,70,broken clouds,1010,0
235,0.56,11.77556,668.25,22.24,88,5.01,100,light rain,1007,0
236,0.25,47.39222,681.91,25.23,18,1.69,0,clear sky,1013,0
237,1.5,1.735556,513.86,28.79,31,5.94,0,clear sky,1003,0
238,12,9.135556,6.75,27.09,87,7.72,96,light rain,996,0
239,50,63.17444,451.91,23.7,83,1.36,30,light rain,1009,0
240,0.1,83.33,37.68,21.37,82,4.11,80,broken clouds,1011,0
241,6.5,36.16778,86.27,31.42,40,6.8,0,clear sky,1004,0
242,6.7,55.58333,208,30.75,32,1.62,0,clear sky,1006,0
243,19,3.108889,214.97,38.41,35,1.91,16,few clouds,991,0
244,8,66.15889,237.31,38.12,14,6.35,98,overcast clouds,1002,0
245,4,34.24,472.64,30.14,29,1.93,55,broken clouds,1010,0
246,8,86.72333,28.25,30.02,82,2.42,86,moderate rain,1003,0
247,13.7,45.01222,223.65,20.33,50,5.2,51,light rain,1013,0
248,3.3,52.60444,100.63,19.54,60,2.01,0,clear sky,1014,0
249,11.7,41.99889,69.5,21.34,26,6.5,0,clear sky,1016,0
250,8.35,77.97667,89.71,16.05,78,0.32,0,clear sky,1010,0
251,6.1,85.91556,1206.24,19.69,41,3.09,34,light rain,1015,0
252,0.001,68.67444,142.94,34.39,36,0.91,41,scattered clouds,1006,0
253,3.1,78.64333,308,23.89,85,2.06,100,light rain,1005,0
254,5.75,51.57889,15.05,33.75,34,6.88,0,clear sky,1009,0
255,45,79.27111,91.98,20.1,87,2.41,67,light rain,1016,0
256,0.12,70.56222,323.6,19,26,2.49,0,clear sky,1015,0
257,0.08,96.86889,618.96,24.55,95,5.31,100,heavy intensity rain,1001,0
258,3.3,71.04111,496.4,23.48,93,5.31,100,light rain,1002,0
259,22,90.61889,119.76,23.78,91,1.3,100,moderate rain,1009,0
260,55,52.18667,588.78,27.24,34,3.74,0,clear sky,1011,0
261,12.5,3.678889,20.98,23,46,3.15,0,clear sky,1013,0
262,42,13.21556,555.85,24.5,35,2,12,few clouds,1014,0
263,4.75,66.49222,9.12,26.55,83,4.11,98,light rain,1011,0
264,12.1,79.98889,8.61,22.81,54,3.42,0,clear sky,1014,0
265,7.8,88.86444,1088.04,13.3,38,3.15,0,clear sky,1017,0
266,1.8,64.62333,297.7,27.58,24,2.11,0,clear sky,1007,0
267,6.6,90.08556,169.06,17.4,76,5.11,49,scattered clouds,1009,0
268,6.2,68.50667,237.81,41.84,27,3.66,77,broken clouds,994,0
269,8,57.04889,0.75,26.45,66,6,86,overcast clouds,1012,0
