,Unnamed: 0,cause,riverdistance,sealevel,severity,temp,humidity,wind_speed,pressure,class
181,181,Clouds,26.4,125.77,0,19.74,83,1.42,1011,0
182,182,Haze,10.5,244.28,0,32.4,44,2.97,1003,0
183,183,Clouds,16.4,36.31,0,33.88,47,6.11,1005,0
184,184,Clear,13.64,1625.31,0,11.35,84,1.34,1009,0
185,185,Clear,29,151.11,0,17.93,90,0.97,1015,0
186,186,Clear,9.8,257.79,0,18.55,37,2.34,1013,0
187,187,Clear,15.473,224.38,0,24.41,19,2.95,1016,0
188,188,Clouds,130,276.81,0,28.83,60,0.91,1001,0
189,189,Clouds,19.3,661.3,0,34.25,16,3.67,1007,0
190,190,Clouds,17.43,142.02,0,27.5,51,2.96,1004,0
191,191,Fog,71.09,175.48,0,17.02,27,2.14,1014,0
192,192,Clear,6.4,537.46,0,30.31,30,5.42,1009,0
193,193,Clear,19.7,286.55,0,31.42,20,1.29,1010,0
194,194,Clear,10.5,202.83,0,29.68,13,3.97,1012,0
195,195,Clear,4.7,299.63,0,20.08,30,2.33,1013,0
196,196,Clouds,17.07,210.86,0,37.18,43,2.13,996,0
197,197,Clouds,12.6,190.85,0,27.59,85,5.76,1003,0
198,198,Clear,3.9,94.53,0,14.65,43,2.33,1016,0
199,199,Clouds,1,134.21,0,12.63,40,1.97,1013,0
200,200,Clear,69.1,219.18,0,23.11,52,0.7,1015,0
201,201,Clouds,16.9,406.7,0,32.37,54,1.73,1003,0
