forest,sealevel,temp,humidity,wind,cloud,weather,pressure,class
80.81666667,9.2,25.2,90,1.65,100,Rain,1014,1
95.07777778,1765.59,12.16,85,2.88,100,Rain,1013,1
89.91666667,116.95,24.78,92,2.06,99,Rain,1000,1
68.9785,409.16,24.87,88,5.78,100,Rain,997,1
22.03666667,629.48,23.22,98,6.69,100,Rain,996,1
92.01555556,307.25,25.25,93,6.61,100,Rain,994,1
92.68452,-0.03,28.84,86,7.13,100,Rain,996,1
61.28444444,4.34,26.98,95,0,40,Haze,998,1
69.34666667,110,27.15,94,1.47,100,Rain,999,1
78.24333333,7.44,25.73,94,1.68,100,Rain,1009,1
86.00777778,13,27.79,93,1.58,69,Clouds,1003,1
43.58333333,67.84,27.09,93,5.43,100,Rain,997,1
80.42333333,330.7,27.91,95,0.46,100,Rain,997,1
87.77888889,57.64,26.31,90,1.02,92,Rain,1004,1
91.44555556,13.73,25.45,93,5.84,100,Rain,997,1
51.92777778,780.6,20.07,96,0,40,Clouds,1012,1
88.59444444,79.67,24.21,95,2.42,100,Rain,1010,1
42.95111111,85.2,25.01,94,0,75,Clouds,1008,1
94.05222222,593.96,24.79,92,0.63,48,Rain,1006,1
86.81666667,78.29,22.66,93,1.21,100,Rain,1004,1
89.22,51.64,26.4,95,3.4,100,Rain,1000,1
91.97111111,2254.64,12.91,97,0.85,100,Rain,1011,1
92.96222222,3.56,25.23,91,4.95,100,Rain,1001,1
74.40666667,88.6,26.32,95,0.65,100,Clouds,1003,1
36.77666667,139.48,24.87,94,1.14,98,Clouds,1005,1
94.66222222,199.61,25.43,94,1.71,100,Rain,1004,1
52.27555556,511.51,22.95,95,6.04,99,Rain,1009,1
93.88111111,1885.09,20.56,98,0.84,100,Rain,1003,1
90.22666667,60.2,28.11,90,1.17,100,Rain,998,1
90.19222222,138.82,26.37,94,0.73,100,Rain,1004,1
78.45777778,83.7,26.25,90,2.41,99,Rain,1006,1
84.65845,1.8,27.23,93,5.93,100,Rain,992,1
50.85,319.74,26.99,78,3.24,71,Clouds,1009,1
6.758888889,320.63,26.01,80,1.4,96,Clouds,1011,1
25.28888889,93.25,20.43,91,1.78,99,Rain,1005,1
91.38333333,52.6,22.16,98,3.42,100,Rain,1009,1
69.8751,71.97,23.14,92,2.43,100,Rain,1004,1
19.02888889,141.73,29.87,82,2.69,100,Clouds,1005,1
89.14333333,203.85,28.69,77,2.13,14,Clouds,1002,1
92.32222222,40.55,27.2,94,2.07,100,Rain,1000,1
18.99222222,3975.7,6.98,96,0.44,100,Rain,1016,1
19.31111111,267.33,26.22,95,2.33,100,Rain,1003,1
87.67222222,71.99,27.64,76,2.42,96,Clouds,1006,1
92.71333333,82.68,26.5,95,1.43,99,Rain,1004,1
91.98111111,81.65,26.54,92,3.73,99,Rain,1003,1
94.15888889,35.11,26.34,94,4,100,Clouds,1005,1
43.71222222,112.61,25.54,93,1.64,16,Clouds,1012,1
90.36222222,530.7,25.55,92,2.71,99,Clouds,1009,1
74.565,73.6,25.87,95,5.38,100,Rain,995,1
90.29111111,45.05,25.9,97,2.62,100,Rain,999,1
95.29777778,177.17,26.09,95,0,90,Haze,1000,1
91.50555556,154.33,27.49,98,1.05,100,Rain,998,1
92.18888889,2.21,27.07,96,3.23,100,Rain,1002,1
90.54333333,56.25,25.79,95,4.18,100,Rain,1005,1
90.09777778,71.34,27.65,89,3.09,98,Rain,1006,1
28.76333333,133.62,25.1,94,2.53,100,Rain,1005,1
94.54888889,36.2,25.85,96,2.76,100,Rain,1003,1
78.95751,59.51,24.89,92,2.39,88,Clouds,1000,1
71.46888889,47.46,29.89,74,4.27,100,Clouds,996,1
89.04888889,1351.23,22.35,95,0.37,100,Rain,1001,1
18.17111111,598.94,22.86,95,5.33,100,Rain,1002,1
83.38777778,244.95,25.67,90,3.21,83,Clouds,1005,1
90.75777778,1163.29,23.64,92,0.97,79,Rain,1003,1
79.68562,74.09,26.24,94,2.38,100,Rain,1005,1
89.61,233.7,23.46,88,1.52,42,Clouds,1010,1
61.61111111,4333.4,5.8,86,1.14,100,Rain,1012,1
90.28444444,250.05,27.54,90,2.11,99,Rain,1001,1
89.74444444,101.08,29.81,87,0.95,100,Clouds,998,1
97.26111111,320.31,25.9,86,2.94,98,Clouds,1006,1
